№,ФИО,Возрастная группа,Итоговое место абсолют,Время плавания,Темп плавания,"Место плавания
АБС","Место плавания
ПВК",Время вело,,Средняя скорость,"Место вело
АБС","Место вело
ПВК",время плавание + вело,Время бега,Темп бега,"Место бега
АБС","Место бега 
ПВК",Итоговое время,,Итоговое место,"Место
возрастная группа ",Пол,Место,Очки в рейтинг
160,Мармыль Ольга,Ж 30-39,1,03:43,01:14,1,1,13:27,25:29,"35,69",4,3,0:17:10,08:19,04:10,2,2,25:29,25:29,1,,Ж
8,Касперович Юлия,Ж 30-39,2,04:16,01:25,3,3,12:55,26:02,"37,16",2,1,0:17:11,08:51,04:26,7,6,26:02,26:02,2,,Ж
108,Врублевская Юлия,Ж 30-39,3,05:09,01:43,5,5,13:43,26:54,"34,99",6,5,0:18:52,08:02,04:01,1,1,26:54,26:54,3,,Ж,1,700.0
66,Клебанович Виктория,Ж 30-39,4,05:10,01:43,6,6,13:01,27:29,"36,88",3,2,0:18:11,09:18,04:39,9,8,27:29,27:29,4,1,Ж,2,683.13
37,Петровская Мария,Ж 30-39,5,04:10,01:23,2,2,14:37,29:02,"32,84",9,6,0:18:47,10:15,05:08,18,11,29:02,29:02,5,2,Ж
42,Викентьева Елена,Ж 40+,6,06:01,02:00,14,3,13:45,29:19,"34,91",7,2,0:19:46,09:33,04:47,12,3,29:19,29:19,6,1,Ж,3,630.13
136,Ковалёва Диана,Ж 30-39,7,05:32,01:51,11,7,13:30,29:28,"35,56",5,4,0:19:02,10:26,05:13,19,12,29:28,29:28,7,3,Ж,4,625.79
73,Вечорко Елена ,Ж 40+,8,06:23,02:08,21,7,14:10,29:51,"33,88",8,3,0:20:33,09:18,04:39,9,1,29:51,29:51,8,2,Ж
1,Кузнецова Марина,Ж 18-29,9,05:16,01:45,7,1,14:53,30:19,"32,25",13,1,0:20:09,10:10,05:05,17,4,30:19,30:19,9,1,Ж,5,601.21
130,Адамович Ирина Владимировна,Ж 40+,10,05:24,01:48,9,1,12:25,30:38,"38,66",1,1,0:17:49,12:49,06:25,32,11,30:38,30:38,10,3,Ж,6,592.06
7,Ванчук Оксана,Ж 40+,11,06:12,02:04,19,6,15:10,30:54,"31,65",16,6,0:21:22,09:32,04:46,11,2,30:54,30:54,11,4,Ж
52,Науменко Анна,Ж 30-39,12,06:10,02:03,18,8,14:41,30:58,"32,69",10,7,0:20:51,10:07,05:04,16,10,30:58,30:58,12,4,Ж,7,582.42
14,Волкова Елена,Ж 18-29,13,06:41,02:14,26,9,15:49,31:17,"30,35",20,3,0:22:30,08:47,04:24,5,1,31:17,31:17,13,2,Ж
24,Климашёнок Анжела,Ж 30-39,14,07:30,02:30,37,17,15:05,31:25,"31,82",15,8,0:22:35,08:50,04:25,6,5,31:25,31:25,14,5,Ж
29,Куликова Полина,Ж 30-39,15,07:18,02:26,32,14,16:10,31:50,"29,69",23,12,0:23:28,08:22,04:11,3,3,31:50,31:50,15,6,Ж
