Место,Участник,Команда,Группа,Результат,Плавание,T1,Вело,T2,Бег,Место м/ж,Место группа,BIB,Пол,Этап
1,МАКСИМ ГРЕБЕНЧУК,"Grebenstar, Belarus",M30-39,00:33:26.57,00:05:19.17,00:00:46.58,00:16:42.67,00:00:26.38,00:10:11.77,1,1,152,М,Финал
2,ДМИТРИЙ МЕЛЯХ,"Тристайл, Belarus",M40-49,00:33:43.62,00:04:57.54,00:00:48.56,00:17:44.98,00:00:21.97,00:09:50.57,2,1,140,М,Финал
3,ПАВЕЛ БОРИСЁНОК,Russia,M40-49,00:34:12.90,00:06:36.51,00:00:36.06,00:17:17.34,00:00:27.98,00:09:15.01,3,2,154,М,Финал
4,ЕВГЕНИЙ СКУДНЫЙ,"Solemare / Tristyle, Belarus",M30-39,00:35:05.79,00:06:22.37,00:00:51.93,00:17:16.85,00:00:27.26,00:10:07.38,4,2,129,М,Финал
5,АЛЕКСЕЙ ШИНКАРЕВ,"ON-BIKE, Belarus",M40-49,00:35:26.25,00:06:49.16,00:00:48.98,00:16:52.22,00:00:33.23,00:10:22.66,5,3,148,М,Финал
6,ВИТАЛИЙ САСКОВЕЦ,"CADENCE, Belarus",M30-39,00:35:40.86,00:07:21.84,00:00:42.46,00:17:46.89,00:00:16.86,00:09:32.81,6,3,108,М,Финал
7,АЛЕКСАНДР НОВИЦКИЙ,"SPIRIT Endurance, Altius, Belarus",M40-49,00:35:48.23,00:06:43.96,00:00:33.54,00:17:11.71,00:00:29.69,00:10:49.33,7,4,134,М,Финал
8,ДМИТРИЙ ГАЦКО,"Tristyle, Belarus",M50+,00:35:54.00,00:06:12.61,00:00:54.69,00:17:24.18,00:00:33.84,00:10:48.68,8,1,149,М,Финал
9,АЛЕКСЕЙ ВИКЕНТЬЕВ,"VIKENTIEV TEAM, Belarus",M50+,00:36:23.12,00:07:10.85,00:01:03.59,00:17:40.29,00:00:35.43,00:09:52.96,9,2,122,М,Финал
10,ДРАПУН АЛЕКСАНДР,"Tristyle, Belarus",M16-29,00:36:34.94,00:07:28.19,00:00:38.09,00:17:40.10,00:00:32.23,00:10:16.33,10,1,137,М,Финал
11,ВЛАДИМИР ЛЕОНЧИК,"Tristyle, Belarus",M40-49,00:37:00.25,00:07:18.95,00:01:01.17,00:17:30.74,00:00:39.76,00:10:29.63,11,5,130,М,Финал
12,ANDREI SHULHICH,"TRISTYLE, Belarus",M40-49,00:37:03.44,00:07:58.41,00:00:58.70,00:17:24.74,00:00:36.90,00:10:04.69,12,6,136,М,Финал
13,КУШЕЛЬ МАКСИМ,Belarus,M16-29,00:38:09.58,00:07:12.75,00:00:41.08,00:17:55.68,00:00:27.62,00:11:52.45,13,2,111,М,Финал
14,ВИКТОР ПАЛЕНЫЙ,"Run4Fun.By, Belarus",M40-49,00:38:29.88,00:06:49.87,00:01:28.35,00:18:44.91,00:01:03.55,00:10:23.20,14,7,103,М,Финал
15,АНДРЕЙ КАРТУН,"Tristyle, Belarus",M40-49,00:38:36.31,00:07:00.29,00:01:16.47,00:18:17.75,00:00:34.94,00:11:26.86,15,8,144,М,Финал
16,АЛЕКСЕЙ ШПИЛЕНЯ,"BFT, Belarus",M30-39,00:39:34.96,00:07:20.82,00:01:12.55,00:18:30.60,00:00:40.66,00:11:50.33,16,4,142,М,Финал
17,АЛЕНА ЗАНЧУРИНА,"RUN4FUN.BY, Belarus",Женщины,00:42:01.16,00:07:02.49,00:01:56.10,00:22:01.02,00:00:44.31,00:10:17.24,1,1,114,Ж,Финал
18,ЕЛЕНА ВИКЕНТЬЕВА,"VIKENTIEV TEAM, Belarus",Женщины,00:42:44.85,00:08:22.05,00:01:19.53,00:20:17.03,00:00:36.05,00:12:10.19,2,2,123,Ж,Финал
19,HANNA NAVUMENKA,"Tristyle, Belarus",Женщины,00:44:36.44,00:08:33.97,00:01:21.25,00:20:52.11,00:00:38.34,00:13:10.77,3,3,146,Ж,Финал
20,МАРИНА КУЗНЕЦОВА,"SPIRIT Endurance, Belarus",Женщины,00:45:47.05,00:08:17.89,00:01:08.06,,,00:12:51.06,4,4,113,Ж,Финал
